Unnamed: 0,goods_id,goods_name,goods_price,goods_store,goods_commit
31,100007233381,联想ThinkBook 14 2021款 酷睿版 英特尔酷睿i5 14英寸轻薄笔记本(i5-1135G7 16G 512G 高色域),4999.0,ThinkPad京东自营旗舰店,6万+条评价
32,100008282629,博仑帅酷睿i3/i5/i7曲面窄边框超薄一体机电脑办公/家用/游戏台式一体式整机 C3高端商务19.1 i5 限量升至8G/240G,1578.0,博仑帅一体机电脑旗舰店,1.2万+条评价
33,100007329765,"京品电脑	
联想(Lenovo)天逸510Pro英特尔酷睿i5个人商务台式机电脑整机(十代i5-10400F 8G 1TB+256G SSD 2G独显)23英寸",4799.0,联想京东自营旗舰店,10万+条评价
34,10020018380102,"京品电脑	
联想ThinkPad E14锐龙版(1TCD)2020新款 轻薄笔记本电脑(7nm 6核R5 16G双通道 512GSSD 双面金属 FHD)",4299.0,ThinkPad京东自营旗舰店,5.2万+条评价
35,63539428440,联想ThinkPad 翼14 Slim（39CD）14英寸轻薄笔记本电脑（i3-10110U 8G 256GSSD FHD）银,3499.0,ThinkPad京东自营旗舰店,4.8万+条评价
36,100014047118,惠普(HP)暗影精灵6 英特尔酷睿i7游戏台式电脑主机(十代i7-10700F 16G 256GBSSD+1TB GTX1660Ti 6G独显),6799.0,惠普京东自营官方旗舰店,5.8万+条评价
37,100014025828,攀升战神水冷十代i5 10400F/RTX2060设计师游戏台式机电脑主机 【十代i5 16G 512G RTX2060】,5599.0,攀升官方旗舰店,1600+条评价
38,100009111469,英特尔酷睿i5办公电脑台式主机家用商用财务设计师炒股电脑DIY英雄联盟吃鸡游戏独显组装台式机整机全套 套餐三（英特尔i5/8G内存/256G固态硬盘,1989.0,奥珀电脑专营店,1100+条评价
39,100015691166,"京品电脑	
联想(Lenovo)天逸510S 英特尔酷睿i5 台式机电脑整机(i5-10400  8G 512G SSD wifi win10 )23英寸",4199.0,联想京东自营旗舰店,9.7万+条评价
40,100009090441,惠普(HP)小欧S01 商务办公台式电脑整机（十代i3-10100 8G 512GSSD Win10 注册五年上门）21.5英寸,3099.0,惠普京东自营官方旗舰店,5.2万+条评价
